Months,Gold Rate/Troy Ounce,Gold Price/10 grams
01-01-2020,"1,24,387.7",39991.54017
01-02-2020,"1,28,136.2",41196.71927
01-03-2020,"1,29,785.3",41726.91888
01-04-2020,"1,27,490.0",40988.96943
01-05-2020,"1,27,490.0",40988.96943
01-06-2020,"1,45,506.2",46781.28511
01-07-2020,"1,55,246.3",49912.79277
01-08-2020,"1,64,967.2",53038.15044
01-09-2020,"1,58,320.8",50901.28203
01-10-2020,"1,57,743.1",50715.53217
01-11-2020,"1,56,784.1",50407.2324
01-12-2020,"1,53,861.0",49467.4131
01-01-2021,"1,54,395.0",49639.12297
01-02-2021,"1,46,626.6",47141.51484
01-03-2021,"1,38,875.4",44649.4467
01-04-2021,"1,45,328.8",46724.25515
01-05-2021,"1,48,952.9",47889.44428
01-06-2021,"1,48,994.8",47902.91427
01-07-2021,"1,48,649.7",47791.96435
01-08-2021,"1,46,490.0",47097.60487
01-09-2021,"1,44,908.3",46589.05525
01-10-2021,"1,46,969.0",47251.58476
01-11-2021,"1,49,803.5",48162.91408
01-12-2021,"1,48,986.2",47900.13427
01-01-2022,"1,49,245.2",47983.41421
01-02-2022,"1,53,276.2",49279.41324
01-03-2022,"1,60,719.1",51672.35146
01-04-2022,"1,61,918.2",52057.86117
01-05-2022,"1,58,277.1",50887.23204
01-06-2022,"1,58,033.2",50808.8221
01-07-2022,"1,57,859.5",50752.96214
01-08-2022,"1,60,603.1",51635.05149
01-09-2022,"1,55,383.8",49957.01274
01-10-2022,"1,56,676.1",50372.48243
01-11-2022,"1,61,252.4",51843.82133
01-12-2022,"1,67,737.1",53928.68977
01-01-2023,"1,74,869.1",56221.66806
01-02-2023,"1,76,217.1",56655.05774
01-03-2023,"1,79,086.3",57577.52705
01-04-2023,"1,87,020.4",60128.42515
01-05-2023,"1,88,337.5",60551.86483
01-06-2023,"1,83,582.2",59023.00597
01-07-2023,"1,83,314.9",58937.05604
01-08-2023,"1,82,646.4",58722.1362
01-09-2023,"1,82,843.1",58785.38615
01-10-2023,"1,83,052.4",58852.6661
01-11-2023,"1,89,013.7",60769.27467
01-12-2023,"1,93,521.9",62218.70359
01-01-2024,"1,93,887.6",62336.2735
01-02-2024,"1,92,937.2",62030.71373
01-03-2024,"2,03,123.6",65305.70129
01-04-2024,"2,22,332.9",71481.62668
01-05-2024,"2,24,506.1",72180.33616
01-06-2024,"2,22,532.3",71545.74663
01-07-2024,"2,22,015.5",71379.59676
01-08-2024,"2,18,908.6",70380.7075
01-09-2024,"2,26,690.6",72882.65564
01-10-2024,"2,38,584.2",76706.53278
01-11-2024,"2,37,221.5",76268.42311
01-12-2024,"2,37,068.9",76219.37315
01-01-2025,"2,44,581.7",78634.77135
01-02-2025,"2,64,634.6",85081.93654
01-03-2025,"2,70,416.6",86940.88515
01-04-2025,"2,88,759.5",92838.26075
01-05-2025,"2,94,382.1",94645.9794
01-06-2025,"3,02,184.5",97154.49753
01-07-2025,"3,03,447.0",97560.40723
01-08-2025,"3,10,116.4",99704.67563
01-09-2025,"3,40,819.9",109576.0583
01-10-2025,"3,81,998.3",122815.2284
01-11-2025,"3,82,098.9",122847.5584
