Month,Nifty
01-01-2020,"11,962.10"
01-02-2020,"11,201.75"
01-03-2020,"8,597.75"
01-04-2020,"9,859.90"
01-05-2020,"9,580.30"
01-06-2020,"10,302.10"
01-07-2020,"11,073.45"
01-08-2020,"11,387.50"
01-09-2020,"11,247.55"
01-10-2020,"11,642.40"
01-11-2020,"12,968.95"
01-12-2020,"13,981.75"
01-01-2021,"13,634.60"
01-02-2021,"14,529.15"
01-03-2021,"14,690.70"
01-04-2021,"14,631.10"
01-05-2021,"15,582.80"
01-06-2021,"15,721.50"
01-07-2021,"15,763.05"
01-08-2021,"17,132.20"
01-09-2021,"17,618.15"
01-10-2021,"17,671.65"
01-11-2021,"16,983.20"
01-12-2021,"17,354.05"
01-01-2022,"17,339.85"
01-02-2022,"16,793.90"
01-03-2022,"17,464.75"
01-04-2022,"17,102.55"
01-05-2022,"16,584.55"
01-06-2022,"15,780.25"
01-07-2022,"17,158.25"
01-08-2022,"17,759.30"
01-09-2022,"17,094.35"
01-10-2022,"18,012.20"
01-11-2022,"18,758.35"
01-12-2022,"18,105.30"
01-01-2023,"17,662.15"
01-02-2023,"17,303.95"
01-03-2023,"17,359.75"
01-04-2023,"18,065.00"
01-05-2023,"18,534.40"
01-06-2023,"19,189.05"
01-07-2023,"19,753.80"
01-08-2023,"19,253.80"
01-09-2023,"19,638.30"
01-10-2023,"19,079.60"
01-11-2023,"20,133.15"
01-12-2023,"21,731.40"
01-01-2024,"21,725.70"
01-02-2024,"21,982.80"
01-03-2024,"22,326.90"
01-04-2024,"22,604.85"
01-05-2024,"22,530.70"
01-06-2024,"24,010.60"
01-07-2024,"24,951.15"
01-08-2024,"25,235.90"
01-09-2024,"25,810.85"
01-10-2024,"24,205.35"
01-11-2024,"24,131.10"
01-12-2024,"23,644.80"
01-01-2025,"23,508.40"
01-02-2025,"22,124.70"
01-03-2025,"23,519.35"
01-04-2025,"24,334.20"
01-05-2025,"24,750.70"
01-06-2025,"25,517.05"
01-07-2025,"24,768.35"
01-08-2025,"24,426.85"
01-09-2025,"24,611.10"
01-10-2025,"25,722.10"
01-11-2025,"26,202.95"
