Date,USD/INR Exchange Rate
01-01-2020,71.54
01-02-2020,72.534
01-03-2020,75.333
01-04-2020,75.077
01-05-2020,75.59
01-06-2020,75.54
01-07-2020,74.916
01-08-2020,73.254
01-09-2020,73.56
01-10-2020,74.554
01-11-2020,73.99
01-12-2020,73.036
01-01-2021,72.877
01-02-2021,73.92
01-03-2021,73.137
01-04-2021,74.05
01-05-2021,72.511
01-06-2021,74.36
01-07-2021,74.337
01-08-2021,72.947
01-09-2021,74.164
01-10-2021,74.915
01-11-2021,75.09
01-12-2021,74.467
01-01-2022,74.529
01-02-2022,75.493
01-03-2022,75.901
01-04-2022,76.52
01-05-2022,77.569
01-06-2022,78.95
01-07-2022,79.336
01-08-2022,79.491
01-09-2022,81.509
01-10-2022,82.77
01-11-2022,81.359
01-12-2022,82.717
01-01-2023,81.739
01-02-2023,82.64
01-03-2023,82.16
01-04-2023,81.72
01-05-2023,82.68
01-06-2023,82.091
01-07-2023,82.24
01-08-2023,82.702
01-09-2023,83.03
01-10-2023,83.256
01-11-2023,83.357
01-12-2023,83.19
01-01-2024,83.095
01-02-2024,82.9
01-03-2024,83.35
01-04-2024,83.45
01-05-2024,83.424
01-06-2024,83.355
01-07-2024,83.699
01-08-2024,83.867
01-09-2024,83.755
01-10-2024,84.061
01-11-2024,84.559
01-12-2024,85.554
01-01-2025,86.561
01-02-2025,87.471
01-03-2025,85.46
01-04-2025,84.599
01-05-2025,85.525
01-06-2025,85.7
01-07-2025,87.524
01-08-2025,88.174
01-09-2025,88.841
01-10-2025,88.769
01-11-2025,89.357
